Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,200,1735,422,21280,1486.10,0.500%,4.86251,5344.53,1.11,1125508.6
TOTAL,200,1735,422,21280,1486.10,0.500%,4.86251,5344.53,1.11,1125508.6
