Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,2012,706,3938,630.77,0.000%,4.76463,5243.11,1.09,1126834.9
TOTAL,100,2012,706,3938,630.77,0.000%,4.76463,5243.11,1.09,1126834.9
