Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request GET,300,1139,97,4066,731.39,0.000%,.92049,0.42,0.27,468.6
TOTAL,300,1139,97,4066,731.39,0.000%,.92049,0.42,0.27,468.6
